,zipcode,borough,landuse,bldgarea,lotarea
Suspicious / Incorrect Parcels,,,,,
27309,10028,MN,9,0,"36,590,000"
42060,10282,MN,11,0,"22,772,335"
45278,10301,SI,9,"330,780","17,948,815"
78158,10306,SI,9,"3,600","31,850,000"
87500,10306,SI,9,"8,170","14,489,000"
94465,10307,SI,9,"1,875","4,696,428"
99456,10308,SI,9,"11,359","17,903,160"
109342,10309,SI,9,"3,616","5,227,000"
114283,10309,SI,9,"25,168","4,107,618"
446822,11226,BK,9,0,"17,142,400"
467890,11229,BK,9,"10,250","33,693,556"
582314,11360,QN,11,0,"35,000,000"
630487,11370,QN,7,"2,059,404","29,305,534"
631393,11370,BX,8,"5,519,372","17,825,000"
651855,11375,QN,9,"4,279,575","6,279,575"
831941,11692,QN,9,"72,663","11,520,794"
833776,11693,BK,9,0,"207,391,225"
,,,,,
,,,,,
,,,,,
,,,,,
"Unchecked Parcels > 1,000,000 sf lotarea",,,,,
234641,10471,BX,8,"237,021","1,845,000"
241338,10473,BX,9,0,"1,800,000"
241386,10473,BX,8,"170,408","4,855,000"
241542,10473,BX,9,540,"2,830,188"
242574,10473,BX,3,"799,710","1,040,000"
244975,10474,BX,7,0,"2,687,656"
245223,10474,BX,11,0,"2,270,000"
246370,10475,BX,3,"5,541,031","1,952,770"
246482,10475,BX,8,"1,132,500","2,720,000"
246756,10475,BX,5,"540,388","1,266,128"
249365,11004,QN,8,"2,014,617","1,306,800"
250458,11005,QN,3,"3,750,565","4,228,300"
253645,11101,QN,7,0,"1,119,771"
254326,11102,QN,3,"1,116,500","1,136,266"
258113,11103,QN,9,"17,912","2,621,005"
265874,11105,QN,9,0,"2,189,060"
267406,11105,QN,7,0,"5,395,830"
273410,11201,BK,7,"721,396","1,277,192"
279205,11203,BK,9,"7,948","2,853,077"
293128,11204,BK,9,0,"1,100,000"
298723,11205,BK,9,"1,825","1,305,000"
304883,11207,BK,7,0,"1,479,960"
305463,11207,BK,9,"2,184","1,747,770"
305843,11207,BK,9,"3,000","4,460,706"
324918,11208,BK,9,"9,932","3,050,000"
323634,11208,BK,9,0,"1,619,300"
323068,11208,BK,9,"4,500","1,500,000"
318838,11208,BK,3,"1,136,208","1,317,803"
328788,11209,BK,8,"1,545,708","7,446,955"
332204,11209,BK,9,"9,300","3,384,178"
347436,11211,BK,8,"245,000","1,543,330"
348852,11211,BK,7,0,"5,137,000"
361546,11214,BK,7,"193,441","1,026,280"
368375,11214,BK,9,0,"2,386,315"
368667,11214,BK,9,200,"3,284,360"
393345,11218,BK,9,"23,578","1,613,749"
406470,11220,BK,6,"316,478","1,445,318"
411602,11220,BK,7,"5,359,400","2,573,197"
424617,11222,BK,9,"55,350","1,032,000"
439251,11224,BK,9,"3,825","7,838,727"
443197,11225,BK,9,"67,081","2,691,000"
469064,11229,BK,9,"2,000","3,192,632"
480884,11231,BK,5,"336,534","2,081,305"
480525,11231,BK,6,"97,200","3,127,835"
478823,11231,BK,3,"1,466,751","1,079,791"
479290,11231,BK,6,"38,122","1,981,175"
483386,11232,BK,6,"21,576","1,165,298"
484393,11232,BK,7,"3,970,000","3,970,000"
485622,11232,BK,9,"62,035","1,067,080"
517014,11235,BK,11,0,"1,357,188"
519274,11235,BK,11,0,"1,955,000"
520348,11235,BK,8,"353,600","2,430,020"
524490,11236,BK,9,"6,000","4,810,000"
525576,11236,BK,9,"1,748,980","1,748,980"
528493,11236,BK,3,"1,526,800","1,410,820"
533155,11236,BK,8,"4,608","2,085,000"
545168,11239,BK,10,0,"1,292,893"
545150,11239,BK,9,600,"1,522,178"
544957,11239,BK,9,600,"1,601,432"
545175,11239,BK,10,0,"1,479,935"
544904,11239,BK,8,"442,575","1,227,637"
544639,11239,BK,9,0,"1,282,062"
544921,11239,BK,3,"1,688,760","1,073,857"
546762,11251,BK,7,"7,064,736","6,429,961"
547378,11354,QN,8,"250,577","1,009,176"
548700,11354,QN,6,"443,492","1,217,249"
552171,11355,QN,9,"2,404","1,600,000"
554336,11355,QN,9,"3,325","1,310,000"
556251,11355,QN,9,"32,608","1,463,449"
563199,11356,QN,7,0,"1,318,184"
563097,11356,QN,9,625,"1,267,596"
569005,11357,QN,8,"454,631","1,072,000"
573468,11358,QN,9,"2,828","3,400,000"
577037,11358,QN,9,"9,043","1,845,000"
581661,11359,QN,8,"421,996","5,926,250"
588917,11361,QN,9,"1,856","1,231,076"
593701,11362,QN,9,"32,000","2,178,000"
593668,11362,QN,9,"7,975","5,793,480"
593036,11362,QN,9,"1,800","2,378,376"
593600,11362,QN,9,0,"4,153,750"
591528,11362,QN,8,"268,500","1,197,900"
596526,11364,QN,9,"4,950","1,176,120"
596583,11364,QN,9,900,"3,761,406"
599054,11364,QN,9,"1,400","1,858,560"
603038,11365,QN,2,"108,627","3,464,089"
603214,11365,QN,9,"4,800","3,489,156"
603311,11365,QN,3,"1,228,778","1,370,000"
603377,11365,QN,9,0,"3,612,000"
604797,11365,QN,3,"1,389,532","1,374,000"
605335,11365,QN,9,"25,584","2,413,000"
605701,11365,QN,2,"483,292","1,002,000"
605706,11365,QN,2,"614,916","1,223,830"
606358,11365,QN,9,"1,440","1,045,440"
610367,11366,QN,9,"13,500","4,530,000"
613072,11367,QN,8,"2,096,206","2,567,000"
615179,11367,QN,9,"18,264","8,875,000"
621311,11368,QN,9,"1,250,000","2,747,985"
621312,11368,QN,7,"1,380","2,325,232"
624503,11368,QN,9,0,"1,304,823"
663160,11378,QN,9,"9,700","3,589,501"
666453,11378,QN,9,"5,250","3,100,000"
671741,11379,QN,9,"3,918","2,019,800"
673959,11379,QN,9,"2,100","1,719,375"
675190,11379,QN,9,450,"1,867,890"
675501,11379,QN,9,216,"2,748,800"
689695,11385,QN,7,"1,640","2,339,172"
690948,11385,QN,9,0,"5,494,000"
684009,11385,QN,9,"21,972","7,405,200"
690128,11385,QN,9,"1,820","1,834,538"
684001,11385,QN,9,"6,800","2,112,660"
679494,11385,QN,9,"8,278","1,844,052"
684007,11385,QN,9,405,"1,450,548"
681829,11385,QN,9,"2,592","1,021,800"
706895,11413,QN,9,806,"3,665,465"
709271,11413,QN,7,"4,000","1,040,000"
711114,11413,QN,9,0,"12,826,931"
713705,11413,QN,9,0,"1,225,000"
717934,11414,QN,9,600,"1,746,000"
720030,11414,QN,9,0,"11,600,000"
722944,11415,QN,9,"2,580","1,041,000"
749874,11420,QN,9,"2,055,252","7,492,320"
747715,11420,QN,11,0,"1,131,352"
762252,11422,QN,7,"5,296","1,630,000"
775326,11426,QN,8,"202,459","3,578,890"
778894,11427,QN,8,"986,724","3,911,439"
797017,11432,QN,8,"4,687,440","4,112,064"
797506,11432,QN,7,"1,254","2,654,546"
809137,11434,QN,3,"6,940,450","4,672,960"
808240,11434,QN,9,"50,000","2,284,900"
806875,11434,QN,9,964,"2,186,712"
805621,11434,QN,9,"2,304","1,093,356"
807904,11434,QN,8,"731,247","2,443,226"
819342,11435,QN,2,"704,500","1,584,225"
825804,11691,QN,9,"1,000","1,182,000"
827877,11691,QN,3,"644,035","2,196,584"
832458,11692,QN,11,0,"1,182,250"
832466,11692,QN,11,0,"1,322,664"
834782,11693,QN,9,0,"2,650,000"
834137,11693,QN,9,"1,652","4,960,000"
833682,11693,QN,1,980,"1,106,431"
833346,11693,QN,9,0,"20,780,000"
835952,11694,QN,8,"407,218","1,501,712"
836066,11694,QN,11,0,"2,872,200"
837994,11694,QN,9,0,"8,748,000"
838090,11694,QN,11,0,"3,547,000"
838504,11695,QN,9,"12,000","3,533,200"
838505,11695,QN,9,"50,000","6,500,000"
838509,11697,QN,1,"1,600,000","12,253,428"
838507,11697,QN,1,"460,000","3,589,344"
838515,11697,QN,9,"12,252,000","8,276,400"
